"Id","StationID","TurbinID","PeriodType","PeriodValue","URT","Consumption"
95,17,"08",1,16,"1442.1139471776157","2583.653785133702"
96,17,"09",1,21,"1640.519762227811","2959.1193951445002"
97,18,"11",1,26,"1822.5458586997145","4409.831043106686"
98,18,"12",1,26,"1540.3054551583","3674.3465556315177"
99,18,"14",1,12,"1518.8413122743311","3965.63176502872"
100,19,"05",1,14,"1762.2540735137843","1134.5794828456642"
101,19,"06",1,27,"1344.2603373730399","1993.111083045891"
102,19,"07",1,27,"1351.1132885983945","2733.9777733480328"
103,20,"01",1,20,"1457.6769084366495","5846.857275380699"
104,20,"04",1,16,"1155.2953690181891","4786.597022050744"
105,20,"06",1,15,"1664.4065179080953","6990.273485224046"
106,21,"03",1,28,"2316.0533881654246","1669.477212309038"
107,22,"01",1,25,"952.1558243008519","85.71123731281624"
108,22,"03",1,13,"2074.1689670291953","1791.7833936566985"
109,22,"04",1,28,"1645.232392791008","1581.8227155242096"
110,22,"05",1,28,"2195.005333670692","1797.985490486548"
111,22,"07",1,25,"2048.3285812699514","4185.147718448909"
112,22,"08",1,28,"2061.281924536436","4221.137327180366"
113,24,"01",1,17,"2283.2197678657453","8015.428158448649"
114,24,"02",1,19,"2271.1507784466885","7223.548613901649"
115,24,"04",1,28,"2271.768979741429","7965.423247651364"
116,24,"05",1,5,"2293.2756846789","3286.842495380999"
117,24,"06",1,20,"2237.272409773144","7601.8547719529215"
118,24,"08",1,22,"2382.1221616469165","8099.270645661514"
119,24,"09",1,12,"2105.9731941095806","5950.892678604931"
120,24,"10",1,28,"1877.954461896483","5651.442634697541"
121,25,"01",1,27,"2028.0229311191501","12002.663253144736"
122,25,"02",1,27,"1993.5700772321916","12785.146558195916"
123,25,"05",1,17,"1905.0908381657168","11141.335819186654"
124,25,"06",1,27,"1976.7265614672704","11709.044146889175"
125,25,"07",1,27,"1987.9906382695335","20336.101070759993"
126,25,"08",1,16,"2029.3708690040519","19823.143136677358"
127,25,"09",1,10,"1909.0135002163854","20504.62836339475"
128,26,"01",1,28,"2443.6269183551776","4640.423071821073"
129,26,"07",1,9,"2198.1614636574295","7044.586574497359"
130,26,"08",1,30,"2103.9787733073636","7632.38600877405"
131,1,"01",2,267,"2265.5593736696887","5797.365610287891"
132,1,"02",2,179,"2161.7608507794944","5521.70654069529"
133,1,"03",2,273,"2381.023205603759","5362.986294428161"
134,1,"04",2,231,"2216.226908214599","5543.527131516887"
135,1,"05",2,243,"2428.252585780188","5224.990583246947"
136,1,"06",2,148,"2205.6819807749603","5492.665635962489"
137,2,"01",2,233,"1509.075397894549","3553.9360112243926"
138,2,"02",2,230,"1736.7340752504228","4338.193056897899"
139,2,"03",2,238,"1557.4315648645254","3349.730291848324"
140,3,"07",2,141,"934.5696535049796","661.9136146051384"
141,3,"12",2,155,"1979.2828520240666","2222.340576377969"
142,3,"14",2,220,"2335.381060774282","5210.570575983266"
143,4,"03",2,204,"2339.4507971001044","1286.1119007594195"
144,4,"04",2,200,"2456.412093627109","1408.3894430866562"
145,4,"05",2,179,"2731.4205681559943","1468.1418633450746"
146,4,"09",2,219,"2032.2849795931675","3153.2944726381193"
147,4,"10",2,149,"997.2827450461319","2068.969924491919"
148,6,"05",2,172,"2209.872428405372","2739.536893907636"
149,6,"06",2,158,"2267.620538979025","2806.1823993691637"
150,6,"07",2,115,"1047.2736629704705","1134.5116198120495"
151,6,"08",2,163,"2053.7921418251494","2568.279534078197"
152,6,"09",2,248,"1919.7743498715763","2478.6601201426383"
153,7,"01",2,256,"1585.7051503803325","1958.803731746881"
154,7,"03",2,210,"1597.804648087908","4749.250924697227"
155,8,"01",2,238,"1615.6437845566213","2278.419931387176"
156,8,"02",2,159,"1652.9956540226228","4109.983402489558"
157,8,"03",2,279,"1750.8221612867442","4362.101479282838"
158,8,"04",2,235,"2299.461214958693","7012.458489932971"
159,9,"01",2,183,"2610.36544576888","4785.294054394034"
160,9,"03",2,214,"2345.506346678138","4911.268081864974"
161,9,"06",2,134,"2051.840905748422","8187.708961419158"
162,9,"07",2,228,"2027.199014703481","9201.217966540338"
163,13,"01",2,247,"2470.744816704917","327.26501333520434"
164,13,"02",2,142,"908.0347972508421","231.30444070963944"
165,14,"02",2,174,"1008.3541283384429","115.61314117103832"
166,14,"04",2,165,"943.2295276268975","357.8213905303586"
167,15,"01",2,231,"2200.0549417740044","7683.801148432326"
168,15,"03",2,115,"2005.9587181740737","8211.827789585384"
169,15,"05",2,213,"2018.6438602005746","8301.3639446934"
170,17,"08",2,137,"1433.9065316925537","2651.518711528217"
171,17,"09",2,193,"1651.9495079676153","2922.5982547401904"
172,18,"11",2,229,"1684.0216799639256","3983.6236597499183"
173,18,"12",2,243,"1596.583133595801","3760.6579390654365"
174,18,"14",2,213,"1734.4542875127192","4500.864978168205"
