"Id","StationID","TurbinID","PeriodType","PeriodValue","URT","Consumption","NominalURT"
33,15,"01",0,7,"2079.850096437771","9302","0"
34,15,"02",0,7,"2141.9458313387836","9410","0"
35,15,"03",0,7,"1829.9697330514548","7862","0"
36,15,"04",0,7,"2015.300451751597","9774","0"
37,17,"06",0,8,"1559.2399341146288","1851","1547.223375"
38,17,"07",0,8,"1749.133162137967","2004","1755.2871249999998"
39,17,"09",0,8,"1206.2463180109364","1942","1204.96225"
40,18,"10",0,7,"893.6310542275903","542.707","944.1061428571428"
41,18,"11",0,7,"968.8648174268046","2468.228","987.3882857142856"
42,18,"12",0,7,"1193.2353077247767","3183.687","1113.1935714285714"
43,18,"14",0,7,"1526.8752343829326","3762.118","1345.374142857143"
44,20,"01",0,6,"1590.4556345224914","5910","1574.8118333333332"
45,20,"02",0,7,"1269.8255046860854","5016","1243.855142857143"
46,20,"03",0,7,"1518.3306309353627","6604","1579.0801428571428"
47,20,"04",0,7,"1392.194992192052","5823","1383.4852857142855"
48,20,"05",0,7,"1665.4745153722806","7131","1630.419"
49,20,"06",0,7,"1583.4323267533437","6759","1666.1488571428574"
50,21,"03",0,8,"1907.5635938766318","1759","1987.0425"
51,22,"03",0,8,"1935.7815433428457","2734.976","1423.705"
52,22,"05",0,8,"1773.3047776101407","2270.918","1546.49075"
53,22,"07",0,8,"1859.5692626668185","3146.864","1789.754625"
54,22,"08",0,8,"1857.1928673697143","5074.161","1847.499"
55,24,"01",0,7,"2290.7770576586245","8177.694","0"
56,24,"05",0,7,"2259.721199141789","3265.661","0"
57,24,"06",0,7,"2264.6645496520496","8107.624","0"
58,24,"08",0,7,"2215.703416122985","7650.902","0"
59,24,"09",0,7,"1905.4092163295543","5759.054","0"
60,24,"10",0,7,"2017.6205497264996","6218.089","0"
61,25,"01",0,7,"1981.4123949313214","12436.308","0"
62,25,"02",0,7,"1916.6398113238324","11953.036","0"
63,25,"04",0,7,"1899.2434722894213","11526.452","0"
64,25,"05",0,7,"1825.9871272110454","10639.304","0"
65,25,"06",0,7,"1899.9356544071086","13334.677","0"
66,25,"07",0,7,"1914.8344007205021","18067.292","0"
67,25,"09",0,7,"1903.440667060185","21056.297","0"
68,26,"01",0,8,"2399.359177152494","4265.85","0"
69,26,"02",0,8,"2632.361413957626","2816.997","0"
70,26,"04",0,4,"1701.880334567166","4248.546","0"
71,26,"05",0,7,"2043.0318475386352","10101.583","0"
72,26,"08",0,8,"2070.2386175976962","10423.066","0"
73,1,"01",1,26,"1997.4879587892858","135927.055","0"
74,1,"02",1,26,"2155.747586406155","160761.21699999995","0"
75,1,"04",1,22,"2278.356115057763","131303.943","0"
76,1,"05",1,11,"2247.1357150332597","50145.066000000006","0"
77,1,"06",1,26,"2214.027998587512","153145.27199999994","0"
78,2,"01",1,30,"1083.0134949538033","83143.60800000001","1177.1866666666667"
79,2,"02",1,30,"1100.1557640087808","78165.40000000002","1191.03"
80,2,"03",1,10,"1052.864223012715","20429.593","1129.7999999999997"
81,2,"04",1,30,"1106.3530577369058","109717.55200000003","1210.2833333333335"
82,3,"07",1,17,"927.1130101917986","12461","928.8676470588236"
83,3,"09",1,16,"914.167117413356","11830","951.3988125000001"
84,3,"11",1,29,"2785.8189469265462","58207.612","2702.7331034482763"
85,3,"12",1,23,"1309.5941238325756","28474.002","2281.727217391305"
86,3,"14",1,31,"1961.028704562419","114079.71500000003","1673.4289677419351"
87,3,"15",1,18,"1987.9571722172116","51924.53700000001","1563.909444444444"
88,4,"03",1,30,"1989.2510425855783","33137.251000000004","2036.0339999999999"
89,4,"04",1,19,"3115.5392065264004","31641.514000000003","2648.0414210526314"
90,4,"05",1,30,"2140.429056673029","35070.10300000001","1973.0420000000004"
91,4,"06",1,30,"2302.30139525576","39147.636999999995","2184.6952"
92,4,"09",1,30,"1234.623713375988","58822.399","1490.7666666666664"
93,4,"10",1,22,"1010.6351096488648","45324.254","914.5394545454545"
94,4,"11",1,11,"1158.0932855011515","10546.664999999999","987.4130000000001"
95,5,"03",1,31,"949.9586094871114","15052","960.0045161290324"
96,5,"05",1,31,"922.6316602316605","17094","921.557741935484"
97,5,"06",1,31,"1462.1603255813952","3870","1466.3383870967739"
98,5,"07",1,21,"1514.9410736703005","3027","2135.8790476190484"
99,5,"09",1,26,"989.7567343760578","14769","1027.205"
100,5,"10",1,9,"944.8872298905285","6303","964.5933333333334"
101,5,"11",1,31,"1614.6375273310375","106015","1593.7577419354834"
102,6,"05",1,23,"1774.3959698142596","52205.08","1617.263434782609"
103,6,"06",1,21,"1317.4642199415412","38438.323000000004","1311.3647142857142"
104,6,"08",1,23,"1141.6931148208005","39759.486","1147.232956521739"
105,6,"09",1,11,"1231.558770815647","14673.252999999999","1706.3279090909089"
106,7,"01",1,25,"1186.0597109247021","38175.915","1303.12"
107,7,"02",1,23,"1186.6956028612674","81312.06900000002","1228"
108,7,"03",1,31,"1401.8263434414039","156601.99200000003","1417.4193548387098"
109,8,"01",1,23,"1138.0361099172148","36433.66500000001","1231.984"
110,8,"02",1,23,"1265.0878846221733","72775.90699999999","1121.5177391304348"
111,8,"03",1,5,"1771.39355478297","17745.761000000002","3561.875"
112,8,"04",1,23,"2044.6943607462254","151232.18","2165.299391304348"
113,9,"01",1,23,"2547.3645436102734","125647","0"
114,9,"02",1,22,"2531.0651744294264","121413","0"
115,9,"03",1,31,"2289.736688992704","135283","0"
116,9,"04",1,25,"2197.610073549679","137866","0"
117,9,"05",1,24,"2211.0672626147316","109495","0"
118,9,"06",1,10,"2038.6420715787829","89398","0"
119,9,"07",1,31,"2032.2869444337202","284921","0"
120,12,"01",1,29,"1602.5362497211515","190692.313","1628.519034482759"
121,13,"01",1,30,"2440.464371015916","10061.191","2565.0200999999997"
122,13,"02",1,30,"942.8537759771064","7499.055","949.1412000000001"
123,13,"03",1,30,"997.5615003472968","4251.410999999999","965.5899666666668"
